sex,agegrp,activity,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47
male,3,050000,0.026,0.029,0.025,0.021,0.017,0.024,0.022,0.03,0.03,0.038,0.068,0.101,0.157,0.23,0.317,0.368,0.404,0.451,0.458,0.467,0.478,0.477,0.466,0.443,0.348,0.398,0.431,0.452,0.47,0.462,0.442,0.398,0.348,0.296,0.197,0.161,0.125,0.106,0.078,0.072,0.065,0.064,0.058,0.05,0.045,0.046,0.034,0.032
male,3,030000,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.011,0.004,0.005,0.01,0.01,0.033,0.041,0.042,0.013,0.016,0.007,0.008,0.007,0.007,0.008,0.007,0.012,0.008,0.008,0.009,0.009,0.023,0.028,0.028,0.02,0.042,0.029,0.031,0.04,0.038,0.031,0.024,0.025,0.025,0.022,0.015,0.013,0.008,0.002,0.0
male,3,500106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.005,0.004,0.007,0.005,0.008,0.006,0.007,0.004,0.003,0.004,0.003,0.004,0.001,0.0,0.0,0.001,0.0,0.004,0.003,0.0,0.005,0.005,0.004,0.004,0.001,0.002,0.005,0.007,0.004,0.005,0.001,0.001,0.0,0.006,0.003,0.001
male,3,010000,0.015,0.007,0.014,0.005,0.018,0.012,0.014,0.009,0.038,0.053,0.086,0.084,0.107,0.123,0.096,0.077,0.065,0.044,0.052,0.029,0.03,0.021,0.02,0.02,0.011,0.015,0.013,0.015,0.021,0.016,0.017,0.026,0.027,0.034,0.043,0.046,0.033,0.032,0.041,0.045,0.035,0.05,0.069,0.055,0.061,0.037,0.033,0.022
male,3,110000,0.01,0.005,0.004,0.003,0.002,0.002,0.01,0.003,0.005,0.013,0.031,0.036,0.079,0.082,0.067,0.063,0.075,0.04,0.064,0.051,0.074,0.057,0.071,0.095,0.208,0.131,0.113,0.066,0.056,0.051,0.051,0.029,0.045,0.055,0.104,0.11,0.163,0.153,0.171,0.144,0.11,0.061,0.032,0.029,0.025,0.014,0.009,0.009
male,3,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.003,0.001,0.002,0.006,0.007,0.007,0.007,0.005,0.005,0.007,0.008,0.009,0.006,0.008,0.01,0.01,0.009,0.014,0.01,0.008,0.011,0.008,0.016,0.01,0.013,0.012,0.007,0.009,0.007,0.011,0.008,0.008,0.006,0.005,0.004,0.001,0.0,0.0
male,3,180000,0.01,0.01,0.005,0.004,0.005,0.007,0.007,0.014,0.007,0.044,0.072,0.086,0.105,0.149,0.155,0.151,0.105,0.109,0.094,0.083,0.088,0.096,0.095,0.104,0.145,0.135,0.129,0.086,0.112,0.123,0.146,0.144,0.167,0.196,0.237,0.21,0.202,0.145,0.132,0.082,0.083,0.06,0.06,0.031,0.049,0.034,0.019,0.02
male,4,060000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0
male,4,150000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.003,0.005,0.007,0.01,0.015,0.015,0.018,0.019,0.014,0.013,0.009,0.016,0.009,0.009,0.011,0.012,0.011,0.008,0.008,0.005,0.007,0.006,0.004,0.006,0.01,0.009,0.012,0.011,0.012,0.016,0.014,0.01,0.006,0.005,0.003,0.002,0.002
male,4,040000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.001,0.003,0.005,0.004,0.003,0.005,0.006,0.008,0.007,0.019,0.014,0.011,0.014,0.009,0.009,0.008,0.006,0.008,0.01,0.014,0.018,0.016,0.018,0.011,0.007,0.004,0.006,0.007,0.006,0.006,0.001,0.0,0.0,0.0,0.002,0.0
male,4,020000,0.002,0.001,0.002,0.002,0.001,0.005,0.005,0.008,0.022,0.027,0.055,0.045,0.068,0.084,0.09,0.098,0.101,0.108,0.131,0.125,0.143,0.127,0.131,0.146,0.162,0.134,0.107,0.113,0.129,0.132,0.143,0.139,0.148,0.179,0.171,0.152,0.178,0.133,0.095,0.08,0.075,0.054,0.034,0.043,0.019,0.018,0.011,0.01
male,4,130000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.007,0.007,0.012,0.023,0.021,0.021,0.023,0.025,0.032,0.028,0.025,0.022,0.028,0.02,0.021,0.024,0.019,0.021,0.02,0.016,0.024,0.023,0.023,0.032,0.024,0.02,0.019,0.021,0.024,0.016,0.019,0.016,0.009,0.006,0.007,0.0,0.001,0.0,0.0
male,4,140000,0.003,0.003,0.003,0.003,0.004,0.004,0.007,0.005,0.003,0.003,0.004,0.003,0.013,0.014,0.009,0.01,0.01,0.009,0.012,0.011,0.01,0.008,0.007,0.006,0.007,0.006,0.004,0.004,0.004,0.002,0.001,0.001,0.003,0.004,0.006,0.008,0.012,0.015,0.021,0.018,0.018,0.01,0.011,0.006,0.006,0.004,0.004,0.003
male,4,160000,0.002,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.005,0.008,0.008,0.005,0.005,0.002,0.002,0.003,0.002,0.005,0.004,0.002,0.002,0.002,0.006,0.003,0.007,0.01,0.006,0.002,0.003,0.003,0.005,0.0,0.001,0.001,0.003,0.002,0.001
male,4,120000,0.056,0.041,0.032,0.029,0.021,0.025,0.023,0.027,0.048,0.05,0.087,0.091,0.098,0.108,0.132,0.115,0.151,0.189,0.192,0.212,0.223,0.221,0.201,0.197,0.215,0.216,0.221,0.24,0.262,0.253,0.26,0.285,0.33,0.315,0.361,0.4,0.425,0.499,0.533,0.567,0.599,0.652,0.595,0.509,0.403,0.302,0.181,0.113
male,4,080000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.003,0.004,0.005,0.007,0.015,0.011,0.01,0.012,0.014,0.012,0.016,0.011,0.011,0.013,0.016,0.009,0.012,0.012,0.008,0.005,0.008,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.003,0.0,0.0,0.0
male,4,010101,0.892,0.916,0.936,0.936,0.942,0.945,0.942,0.927,0.861,0.826,0.715,0.641,0.526,0.43,0.288,0.24,0.157,0.133,0.078,0.067,0.056,0.052,0.042,0.041,0.045,0.049,0.039,0.044,0.041,0.047,0.054,0.052,0.044,0.04,0.035,0.029,0.027,0.036,0.052,0.059,0.084,0.143,0.243,0.327,0.498,0.62,0.755,0.819
male,4,070000,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.0,0.0,0.001,0.001,0.009,0.007,0.007,0.015,0.015,0.021,0.014,0.015,0.017,0.023,0.027,0.043,0.026,0.052,0.052,0.043,0.038,0.045,0.04,0.038,0.044,0.042,0.042,0.034,0.034,0.048,0.032,0.029,0.019,0.014,0.007,0.003,0.002,0.007,0.005,0.003,0.005
male,4,050000,0.023,0.023,0.016,0.017,0.017,0.014,0.017,0.016,0.034,0.032,0.048,0.089,0.15,0.208,0.257,0.322,0.376,0.396,0.416,0.424,0.423,0.42,0.408,0.36,0.277,0.369,0.394,0.411,0.419,0.4,0.388,0.337,0.292,0.246,0.188,0.142,0.116,0.105,0.093,0.073,0.063,0.057,0.054,0.048,0.036,0.033,0.025,0.026
male,4,030000,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.006,0.013,0.006,0.007,0.007,0.011,0.011,0.003,0.006,0.007,0.006,0.007,0.006,0.002,0.004,0.002,0.002,0.003,0.006,0.002,0.01,0.009,0.016,0.013,0.015,0.01,0.01,0.009,0.006,0.005,0.006,0.012,0.003,0.005,0.005,0.002,0.003,0.001
male,4,500106,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.003,0.005,0.009,0.006,0.01,0.007,0.007,0.009,0.007,0.009,0.01,0.008,0.003,0.002,0.004,0.003,0.009,0.008,0.006,0.007,0.001,0.004,0.004,0.004,0.004,0.004,0.008,0.003,0.002,0.001,0.001,0.003,0.001,0.0,0.0,0.001
male,4,010000,0.017,0.012,0.011,0.011,0.017,0.011,0.015,0.018,0.047,0.06,0.093,0.096,0.097,0.107,0.109,0.07,0.077,0.052,0.043,0.041,0.034,0.024,0.027,0.029,0.017,0.018,0.027,0.017,0.018,0.014,0.022,0.035,0.054,0.054,0.041,0.039,0.039,0.036,0.03,0.042,0.061,0.045,0.053,0.055,0.068,0.038,0.047,0.027
male,4,110000,0.003,0.003,0.003,0.002,0.007,0.003,0.002,0.008,0.012,0.029,0.036,0.034,0.061,0.072,0.101,0.1,0.107,0.06,0.077,0.057,0.062,0.037,0.069,0.114,0.223,0.118,0.103,0.052,0.047,0.042,0.034,0.049,0.044,0.065,0.132,0.13,0.165,0.15,0.138,0.118,0.077,0.037,0.031,0.016,0.016,0.008,0.005,0.004
male,4,other,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.003,0.001,0.001,0.008,0.008,0.006,0.006,0.008,0.012,0.012,0.011,0.006,0.005,0.008,0.012,0.01,0.007,0.008,0.003,0.01,0.009,0.013,0.009,0.007,0.006,0.002,0.007,0.007,0.007,0.004,0.002,0.001,0.005,0.01,0.006,0.002,0.005,0.001,0.0,0.0,0.0
male,4,180000,0.013,0.005,0.004,0.007,0.001,0.001,0.002,0.01,0.016,0.024,0.054,0.112,0.1,0.104,0.12,0.159,0.119,0.098,0.1,0.077,0.105,0.099,0.115,0.151,0.194,0.161,0.111,0.119,0.105,0.111,0.139,0.168,0.184,0.168,0.184,0.153,0.161,0.122,0.099,0.082,0.066,0.046,0.033,0.042,0.024,0.011,0.017,0.014
male,5,060000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
male,5,150000,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.005,0.009,0.009,0.008,0.012,0.017,0.017,0.016,0.013,0.012,0.011,0.01,0.014,0.009,0.01,0.007,0.009,0.009,0.01,0.007,0.008,0.013,0.012,0.015,0.009,0.013,0.007,0.006,0.0,0.001,0.0,0.0,0.001,0.001
male,5,040000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.005,0.007,0.006,0.007,0.011,0.01,0.01,0.014,0.011,0.012,0.012,0.011,0.014,0.016,0.017,0.018,0.018,0.026,0.027,0.022,0.015,0.018,0.012,0.011,0.009,0.005,0.006,0.003,0.003,0.003,0.004,0.0,0.001,0.0,0.0
male,5,020000,0.004,0.002,0.001,0.0,0.001,0.002,0.002,0.004,0.015,0.017,0.027,0.036,0.077,0.075,0.125,0.116,0.167,0.174,0.207,0.196,0.211,0.204,0.225,0.213,0.192,0.194,0.198,0.178,0.18,0.168,0.181,0.186,0.182,0.175,0.178,0.157,0.149,0.115,0.096,0.082,0.061,0.044,0.024,0.027,0.03,0.01,0.011,0.007
male,5,130000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.001,0.006,0.011,0.019,0.017,0.027,0.031,0.034,0.049,0.042,0.047,0.039,0.037,0.028,0.024,0.018,0.02,0.026,0.031,0.023,0.028,0.028,0.025,0.019,0.017,0.016,0.016,0.013,0.013,0.015,0.011,0.01,0.006,0.004,0.001,0.001,0.0,0.0,0.0
male,5,140000,0.003,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.006,0.005,0.008,0.011,0.013,0.018,0.014,0.012,0.014,0.018,0.017,0.023,0.024,0.03,0.035,0.025,0.013,0.006,0.004,0.006,0.002,0.001,0.005,0.004,0.002,0.003,0.008,0.012,0.011,0.013,0.018,0.014,0.016,0.017,0.009,0.008,0.003,0.005,0.001,0.008
male,5,160000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.002,0.001,0.003,0.006,0.005,0.002,0.006,0.009,0.006,0.003,0.003,0.005,0.003,0.004,0.005,0.003,0.008,0.011,0.008,0.008,0.005,0.005,0.003,0.005,0.004,0.008,0.009,0.004,0.005,0.004,0.003,0.002,0.001
male,5,120000,0.063,0.048,0.034,0.028,0.028,0.023,0.021,0.02,0.029,0.039,0.053,0.078,0.106,0.147,0.188,0.227,0.253,0.297,0.335,0.33,0.328,0.352,0.356,0.358,0.337,0.364,0.382,0.408,0.434,0.443,0.441,0.46,0.483,0.528,0.497,0.525,0.554,0.604,0.67,0.709,0.738,0.741,0.686,0.623,0.432,0.296,0.199,0.127
male,5,080000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.006,0.006,0.012,0.018,0.016,0.016,0.024,0.026,0.015,0.015,0.011,0.013,0.016,0.02,0.014,0.014,0.013,0.011,0.01,0.002,0.002,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0
male,5,010101,0.919,0.932,0.947,0.959,0.961,0.963,0.963,0.959,0.932,0.901,0.862,0.793,0.685,0.585,0.422,0.34,0.205,0.152,0.093,0.083,0.057,0.05,0.031,0.038,0.042,0.058,0.068,0.088,0.072,0.069,0.064,0.065,0.054,0.034,0.022,0.027,0.021,0.025,0.034,0.048,0.073,0.106,0.195,0.297,0.486,0.656,0.77,0.838
male,5,070000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.002,0.0,0.006,0.004,0.005,0.017,0.021,0.016,0.024,0.04,0.054,0.053,0.057,0.043,0.044,0.047,0.042,0.052,0.038,0.033,0.036,0.025,0.028,0.021,0.017,0.017,0.016,0.005,0.002,0.003,0.003,0.002,0.009,0.007,0.0,0.0,0.0,0.0
male,5,050000,0.004,0.004,0.003,0.004,0.004,0.006,0.008,0.007,0.01,0.013,0.017,0.025,0.024,0.038,0.055,0.069,0.092,0.096,0.115,0.113,0.116,0.113,0.107,0.096,0.102,0.097,0.106,0.106,0.106,0.112,0.104,0.098,0.081,0.068,0.048,0.038,0.023,0.022,0.019,0.013,0.013,0.014,0.013,0.011,0.008,0.003,0.004,0.004
